Deadline,Scholarship Name,Award amount,Education Level,Link,Open date,Eligibility
June 30,"Sterling Lawyers, LLC Annual College Scholarship","$1,000","High school, Undergraduate, Graduate",https://www.sterlinglawyers.com/scholarship/,,"Must be a resident of the United States.
Must be enrolled full-time at an accredited four or two-year college or trade school.
Students must hold a minimum GPA of 3.0."
June 30,Good Lawyers / Good People Scholarship,"$1,000","Undergraduate, Graduate",https://www.simeonemiller.com/scholarship/,May 15,Currently enrolled or accepted as an undergraduate or law student
June 30,Adam Ferrari Health Science Scholarship,"$20,000","High school, Undergraduate",https://www.theferrarifoundation.org/apply-,February 3,Applicants must be students who will begin their first year of full-time college enrollment in a health science program committed to providing exceptional care for individuals with physical disabilities
June 30,College JumpStart Gratitude Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.jumpstart-scholarship.net/application-gratitude-scholarship,,"Current student (high school 10th-12th or college) or planning to enter college within the next 12 months
U.S. citizen or legal resident"
June 30,The Home Depot Foundation Path to Pro Scholarship,"$2,500","High school, Undergraduate",https://webportalapp.com/sp/login/skillpointefoundation_homedepot-pathtopro,,"Be a high school senior, high school graduate or have a GED equivalent.
Plan to enroll, or be enrolled within 1 year, in an approved trade-related program at an accredited two-year school or institution (i.e. technical/vocational school, community college or training center) in the United States.
Programs/Career Paths: Carpentry, Construction Management, Electrical, HVAC, Plumbing."
June 30,Danny Gutierrez Scholarship,Varies,"Undergraduate, Graduate",https://nhcfae.org/danny-gutierrez-scholarship/,,"Major field of study must be in Engineering/Technical (ONLY)
Must be a US Citizen or a permanent resident residing in the United States or Puerto Rico.
Current DACA (Deferred Action for Childhood Arrivals) recipients
Applicants must be accepted or attending an accredited college, university, or vocational/trade school at the time the scholarship is awarded."
June 30,Courage To Grow Scholarship,$500,"High school, Undergraduate, Graduate",https://couragetogrowscholarship.com/?kclt=8a84db160cef4687bd5145f93ab9d923,,You must be a junior or senior in high school or college student with a minimum GPA of 2.5 or better. U.S. citizens only
June 30,J&Y “Books for Good” Scholarship,$300,"High school, Undergraduate, Graduate",https://jnylaw.com/scholarship/,,"Students at accredited colleges, trade schools, universities, and graduate schools in the United States "
June 30,AX Control Scholarships,"$1,000",Undergraduate,https://www.axcontrol.com/scholarship,,"Open to legal residents of the United States who are at least 18 years of age or older, enrolled at least part-time at an accredited college or university
Undergrad students only may apply."
June 30,Esperanza Education Fund,"Up to $10,000",High school,https://www.esperanzafund.org/scholarship,,"Must have been born outside the U.S. OR have two parents who were born outside the U.S.
Must be a graduating senior at a high school in DC, MD, or VA, ​OR have graduated high school within three (3) years and not yet started college and reside in DC, MD, or VA, OR have earned a GED within the last three (3) years and reside in DC, MD, or VA.
Must plan to enroll full-time at one of the following in DC, MD, or VA: An accredited community college to pursue an Associate’s Degree OR An accredited college/university to pursue a Bachelor’s Degree
Must have had a household income that is not more than the following (see website)"
June 30,Alan and Mary Jo Lincoln Scholarship,"$1,000",High school,https://riversidesalesgroup.com/scholarship/,,"African American HS Senior graduating in 2026
Have at least a 2.5 cumulative GPA
Be involved in school activities and community service
Plan to enroll as a full-time student at a College/University, or trade school during Fall 2026"
July 1,ABC Humane Wildlife Women In STEM Academic Scholarship,"$1,000","Undergraduate, Graduate",https://abcwildlife.com/about-us/women-in-stem-scholarship/,,"Applicant must be a student currently enrolled at a college or university recognized by the U.S. Department of Education in the United States
Applicants must be studying or planning to study the fields of science (excluding social sciences i.e. economics), engineering, mathematics, or technology"
July 1,Do It For Donny Scholarship,Varies,"Undergraduate, Graduate",https://charitysmith.org/donovan-kayne-lujan-memorial-fund/,May 1,"Must be enrolled in an accredited college or university program related to the mental health industry.
Undergraduate student in junior or senior years or post graduate student.
School must be located in the United States.
Grade point average for the previous semester must be a minimum of 3.0.
Must demonstrate a strong desire to make a difference in the mental health community."
July 1,JMJ Phillip Group College Scholarship,"$1,000","High school, Undergraduate, Graduate",https://jmjphillip.com/jmj-phillip-stem-scholarship/,,"High school students who have been accepted to college and students who are currently enrolled in a college or university are eligible to apply for the JMJ Phillip Group college scholarship program. 
Students must be currently enrolled in a U.S.-based high school or college. Students graduating from high school must plan to attend college during the fall semester in the same year as the application.
Eligible colleges include two-year and four-year universities in the United States.
Students who apply must have a minimum GPA of 3.6. Current (unofficial) transcripts must be sent with the application."
July 1,KB Delta Scholarships,"$1,000","Undergraduate, Graduate",https://kbdelta.com/scholarship.html,,Any student currently enrolled in any accredited college is eligible to enter
July 1,"Smith, Born, Leventis, Taylor & Vega Scholarship","$1,500","Undergraduate, Graduate",https://www.sbltv.law/scholarship/,May 1,Students currently enrolled in a U.S. college or university.
July 1,The Karen Randall McClain Memorial Scholarship,$500,"High school, Undergraduate, Graduate",https://www.karen-randall-mcclain-memorial.com/scholarship/,,"Must be African American
Graduate of Pittsburgh Public Schools
Currently enrolled in an HBCU
May only win once per calendar year"
July 8,Conflict Conquerer Scholarship,"$1,000",High school,https://www.bihmfirm.com/scholarship,,"Be enrolled in an accredited college or university within the United States
Be an incoming freshman for the Fall 2026 semester
Have achieved a 3.5 grade point average or higher
Be a citizen or permanent resident of one of the 50 United States
Be at least 17 years of age"
July 9,Face the Future Scholarship,"$1,000-$10,000","High school, Undergraduate, Graduate",https://hellobubble.com/pages/community-scholarship-page?srsltid=AfmBOoqlyz7KNdVDEtjfOQZnDuYqfrjWVc7P3zuS4QEzT5Q4uaHKWkG1,,"Applicants must be 18+ 
Applicants must be current or prospective students based in US, UK, or Canada college or Trade/alternate schooling students
Students enrolled in part-time, online, trade, or vocational programs are all welcome to apply"
